Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Metascore,IMDBRating,imdbVotes,imdbID
Dino Ranch,2021–,TV-Y,18 Jan 2021,-1,"Animation, Adventure, Comedy",NA,Matthew Fernandes,"Ava Ro, Scott Gorman, Tyler James Nathan",NA,Canada,1 nomination,-1.0,7.7,96,tt13858416
Luca,2021,PG,18 Jun 2021,95,"Animation, Adventure, Comedy",Enrico Casarosa,"Enrico Casarosa, Jesse Andrews, Simon Stephenson","Jacob Tremblay, Jack Dylan Grazer, Emma Berman","English, Italian",United States,Nominated for 1 Oscar. 3 wins & 72 nominations total,71.0,7.5,"144,319",tt12801262
The Happiest Millionaire,1967,Approved,10 Jul 1968,141,"Comedy, Family, Musical",Norman Tokar,"Kyle Crichton, Cordelia Drexel Biddle, AJ Carothers","Fred MacMurray, Tommy Steele, Greer Garson",English,United States,Nominated for 1 Oscar. 2 nominations total,-1.0,6.8,"2,101",tt0061749
Zenimation,2020–,TV-PG,22 May 2020,8,"Animation, Short, Family",NA,David Bess,Nicol Zanzarella,NA,United States,NA,-1.0,7.4,408,tt12372034
Loki,2021–,TV-14,09 Jun 2021,-1,"Action, Adventure, Fantasy",NA,Michael Waldron,"Tom Hiddleston, Owen Wilson, Gugu Mbatha-Raw",English,United States,5 wins & 24 nominations,-1.0,8.3,"271,331",tt9140554
Red Tails,2012,PG-13,20 Jan 2012,125,"Action, Drama, History",Anthony Hemingway,"John Ridley, Aaron McGruder, John B. Holway","Cuba Gooding Jr., Gerald McRaney, David Oyelowo","English, Italian, German",United States,2 wins & 9 nominations,46.0,5.9,"35,272",tt0485985
Us Again,2021,G,05 Mar 2021,7,"Animation, Short, Drama",Zach Parrish,Zach Parrish,NA,English,United States,3 wins,-1.0,7.8,"6,283",tt14062858
Dinner is Served,2021,NA,23 Mar 2021,-1,"Short, Horror",Willy Adkins,Willy Adkins,"Tank Hurley, Native Rose",English,United States,NA,-1.0,-1.0,-1,tt14310950
Growing Fangs,2021,NA,13 Aug 2021,18,Short,Ann Marie Pace,Ann Marie Pace,"Cristela Alonzo, Sean Burgos, Nicole Goosby","Spanish, English",United States,1 nomination,-1.0,-1.0,43,tt15090776
Ice Road Rescue,2015–,NA,31 Aug 2015,45,"Documentary, Reality-TV",NA,NA,"Thord Paulsen, David Wartnaby, Bjørn Lægreid",NA,United Kingdom,NA,-1.0,8.0,239,tt5270356
Tinker Bell and the Legend of the NeverBeast,2014,G,03 Mar 2015,76,"Animation, Adventure, Family, Fantasy",Steve Loter,"Steve Loter (story), Tom Rogers (story), Tom Rogers (screenplay), Bob Schooley (screenplay), Mark McCorkle (screenplay), Kate Kondell (screenplay)","Ginnifer Goodwin, Mae Whitman, Rosario Dawson, Lucy Liu",English,USA,1 win & 1 nomination.,52.0,7.2,"7,851",tt3120408
Schoolhouse Rock!,1973–2009,TV-Y,06 Jan 1973,3,"Animation, Short, Family",NA,NA,"Bob Dorough, Jack Sheldon, Lynn Ahrens",English,United States,4 wins & 4 nominations,-1.0,8.1,"3,854",tt0069627
