title,director,release_year
Forky Asks a Question: What is Love?,Bob Peterson,2019
One Day at Disney (Shorts),,2019
Marvel Studios' Thor: Ragnarok,Taika Waititi,2017
Disney The Lion Guard,,2015
One Day at Disney,Fritz Mitchell,2019
Disney Star vs. the Forces of Evil,,2014
Expedition Amelia,Chad Cohen,2019
Glory Road,James Gartner,2006
Henry Hugglemonster,,2012
Incredible! The Story of Dr. Pol,,2015
Marvel Rising: Chasing Ghosts,,2019
Marvel Rising: Heart of Iron,,2019
Miles From Tomorrowland,,2014
Sheriff Callie's Wild West,,2011
Supercar Megabuild,,2016
The Incredible Dr. Pol: Blue Ribbon Kids,,2016
Coco,Lee Unkrich,2017
Coco (in Spanish),Lee Unkrich,2017
Forky Asks a Question: What is Time?,Bob Peterson,2019
The Wonderful World of Disney Presents The Little Mermaid Live!,Hamish Hamilton,2019
Forky Asks a Question: What is Art?,Bob Peterson,2019
Mickey Mouse Roadster Racers,,2017
"Happy Birthday, Mickey!",,2019
Forky Asks a Question: What is a Friend?,Bob Peterson,2019
10 Things I Hate About You,Gil Junger,1999
101 Dalmatians,"Wolfgang Reitherman, Hamilton Luske, Clyde Geronimi",1961
101 Dalmatians II: Patch's London Adventure,"Jim Kammerud, Brian Smith",2003
102 Dalmatians,Kevin Lima,2000
12 Dates of Christmas,James Hayman,2011
"20,000 Leagues Under the Sea",Richard Fleischer,1954
A Bug's Life,John Lasseter,1998
A Goofy Movie,Kevin Lima,1995
A Kid in King Arthur's Court,Michael Gottlieb,1995
A Knight for a Day,Jack Hannah,1946
A Ring of Endless Light,Greg Beeman,2002
Aladdin (1992),"Ron Clements, John Musker",1992
Aladdin and the King of Thieves,Tad Stones,1996
Aladdin: The Return of Jafar,"Toby Shelton, Tad Stones, Alan Zaslove",1994
Alice in Wonderland,"Clyde Geronimi, Hamilton Luske, Wilfred Jackson",1951
Aliens of the Deep,"James Cameron, Steven Quale",2005
Alley Cats Strike!,Rod Daniel,2000
Almost Angels,Steve Previn,1962
America's Heart & Soul,Louie Schwartzberg,2004
Amy,Vincent McEveety,1981
An Extremely Goofy Movie,Douglas McCarthy,2000
Andi Mack,,2016
Annie,Rob Marshall,1999
Apollo: Missions To The Moon,Tom Jennings,2019
Atlantis Rising,Simcha Jacobovici,2017
Atlantis: Milo's Return,"Tad Stones, Toby Shelton, Victor Cook",2003
Atlantis: The Lost Empire,"Gary Trousdale, Kirk Wise",2001
Auntie Edna,Ted Mathot,2018
Avatar,James Cameron,2009
Babes in the Woods,Burt Gillett,1932
Babes in Toyland,Jack Donohue,1961
Bambi,David Hand,1942
Bambi II,Brian Pimental,2006
Bao,Domee Shi,2018
Beach Picnic,Clyde Geronimi,1939
Bearly Asleep,Jack Hannah,1955
Beauty and the Beast: Belle's Magical World,Bob Kline,1998
Beauty and the Beast: The Enchanted Christmas,Andy Knight,1997
Beezy Bear,Jack Hannah,1955
Before the Flood,Fisher Stevens,2016
Benji the Hunted,Joe Camp,1987
Best Friends Whenever,,2015
Big City Greens (Shorts),,2017
Big Hero 6,"Don Hall, Chris Williams",2014
Big Hero 6 The Series (Shorts),,2017
Bizarre Dinosaurs,Jenny Kubo,2009
Blank Check,Rupert Wainwright,1994
Boat Builders,Ben Sharpsteen,1938
Bolt,"Chris Williams, Byron Howard",2008
Bone Bandit,Charles Nichols,1948
Bonkers,,1993
Boundin',Bud Luckey,2004
Boy Meets World,,1993
Brave,"Mark Andrews, Brenda Chapman",2012
Brave Little Toaster to the Rescue,Robert Ramirez,1999
Breaking2,Martin Roe,2017
Brink!,Greg Beeman,1998
Brother Bear,"Aaron Blaise, Robert Walker",2003
Brother Bear 2,Benjamin Gluck,2006
Buffalo Dreams,David Jackson,2005
Bug Juice: My Adventures at Camp,,2017
BURN-E,Angus MacLane,2008
Cadet Kelly,Larry Shaw,2002
Camp Nowhere,Jonathan Prince,1994
Camp Rock,Matthew Diamond,2008
Camp Rock 2: The Final Jam,Paul Hoen,2010
Can of Worms,Paul Schneider,1999
Candleshoe,Norman Tokar,1978
Canine Caddy,Clyde Geronimi,1941
Cars,John Lasseter,2006
Cars 2,John Lasseter,2011
Cars 3,Brian Fee,2017
Cars Toon: Air Mater,Rob Gibbs,2011
Cars Toon: Heavy Metal Mater,John Lasseter,2010
Cars Toon: Hiccups,Jeremy Lasky,2013
Cars Toon: Mater Private Eye,Rob Gibbs,2010
Cars Toon: Mater the Greater,John Lasseter,2008
Cars Toon: Monster Truck Mater,John Lasseter,2010
Cars Toon: The Radiator Springs 500 1/2,"Rob Gibbs, Scott Morse",2014
Casebusters,Wes Craven,1986
Cheetah,Jeff Blyth,1989
Chef Donald,Jack King,1941
Chicken Little,Mark Dindal,2005
Chip 'n Dale's Rescue Rangers,,1989
Chip an' Dale,Jack Hannah,1947
Cinderella,"Wilfred Jackson, Hamilton Luske, Clyde Geronimi",1950
Cinderella II: Dreams Come True,John Kafka,2002
Cinderella III: A Twist in Time,Frank Nissen,2007
Clock Cleaners,Ben Sharpsteen,1937
Cloud 9,Paul Hoen,2014
College Road Trip,Roger Kumble,2008
Confessions of a Teenage Drama Queen,Sara Sugarman,2004
Coop & Cami Ask The World (Shorts),,2018
Corn Chips,Jack Hannah,1951
Cow Belles,Francine McDougall,2006
Crash & Bernstein,,2012
Dadnapped,Paul Hoen,2009
Darby O'Gill and the Little People,Robert Stevenson,1959
Darkwing Duck,,1991
Davy Crockett and the River Pirates,Norman Foster,1956
"Davy Crockett, King of the Wild Frontier",Norman Foster,1955
Day & Night,Teddy Newton,2010
Decorating Disney: Holiday Magic,,2017
Deep Blue,"Alastair Fothergill, Andy Byatt",2005
Descendants 2,Kenny Ortega,2017
Diary Of A Wimpy Kid,Thor Freudenthal,2010
Dinosaur,"Ralph Zondag, Eric Leighton",2000
Disney Adventures in Babysitting,John Schultz,2016
Disney Avalon High,Stuart Gillard,2010
Disney Bad Hair Day,Érik Canuel,2015
Disney Bizaardvark,,2015
Disney Den Brother,Mark Taylor,2010
Disney Descendants,Kenny Ortega,2015
Disney Descendants Wicked World (Shorts),,2015
Disney DuckTales (Shorts),,2016
Disney Evermoor,,2017
Disney Family Sundays,,2019
Disney Fast Layne,,2018
Disney Girl vs. Monster,Stuart Gillard,2012
Disney Gravity Falls,,2011
Disney Gravity Falls (Shorts),,2012
Disney Jake and the Never Land Pirates,,2010
Disney JONAS,,2008
Disney Junior Music Nursery Rhymes,,2017
Disney K.C. Undercover,,2014
Disney Lab Rats: Elite Force,,2015
Disney Legend of the Three Caballeros,,2017
Disney Mickey Mouse Clubhouse,,2005
Disney Milo Murphy's Law,,2016
Disney Minnie's Bow-Toons (Shorts),,2011
Disney Stuck In The Middle,,2015
Disney Take Two With Phineas And Ferb (Shorts),,2010
Disney Tangled: The Series - Short Cuts,,2016
Disney Under The Sea: A Descendants Short Story,Hasraf Dulull,2018
Disney's Adventures Of The Gummi Bears,,1985
Disney's Doug,,1996
Disney's Fairy Tale Weddings,Chris Wilson,2017
Disney's Fairy Tale Weddings: Holiday Magic,Chris Wilson,2017
Disney's Hercules: The Animated Series,,1998
Disney's Kim Possible,,2001
Disney's Little Einsteins,,2005
Disney's Mighty Ducks,,1996
Disney's Recess,,1997
Disney's The Emperor's New School,,2005
Disney's The Kid,Jon Turteltaub,2000
Disney's The Little Mermaid (Series),,1992
Disneyland Around the Seasons (Walt Disney's Wonderful World of Color: 1961-69),Hamilton Luske,1966
Disneynature African Cats,Keith Scholey,2011
Disneynature Bears,"Alastair Fothergill, Keith Scholey",2014
Disneynature Born in China,Lu Chuan,2017
Disneynature Chimpanzee,"Alastair Fothergill, Mark Linfield",2012
Disneynature Crimson Wing,"Matthew Aeberhard, Leander Ward",2008
Disneynature Monkey Kingdom,Mark Linfield,2015
Disneynature Wings of Life,Louie Schwartzberg,2011
Dog Whisperer with Cesar Millan,,2004
Don't Look Under the Bed,Kenneth Johnson,1999
Donald's Golf Game,Jack King,1938
Donald's Tire Trouble,Dick Lundy,1943
Double Teamed,Duwayne Dunham,2002
Doug's 1st Movie,Maurice Joyce,1999
"Dr. T, Lone Star Vet",,2019
DuckTales The Movie: Treasure of the Lost Lamp,Bob Hathcock,1990
Dug's Special Mission,Ronnie Del Carmen,2009
Dumbo,Tim Burton,2019
Early to Bed,Jack Kinney,1941
Earth Live,Glenn Weiss,2017
Easter Island Unsolved,Geoff Luck,2018
Eddie's Million Dollar Cook-off,Paul Hoen,2003
Eight Below,Frank Marshall,2006
Elena of Avalor (Shorts),,2017
Emil and the Detectives,Peter Tewksbury,1964
Empire of Dreams: The Story of the Star Wars Trilogy,"Edith Becker, Kevin Burns",2004
Encore!,,2019
Escape to Witch Mountain,John Hough,1975
Even Stevens,,2000
Expedition Mars: Spirit & Opportunity,Mark Davis,2019
Fantasia,"Samuel Armstrong, James Algar, Bill Roberts",1940
Fantasia 2000,"Pixote Hunt, Hendel Butoy, Eric Goldberg",2000
Fantastic Four (Series),,1994
Fantastic Four: World's Greatest Heroes,,2007
Ferdinand the Bull,Dick Rickard,1938
Finding Dory,"Andrew Stanton, Angus MacLane",2016
Finding Nemo,Andrew Stanton,2003
First Kid,David Evans,1996
Flight of the Navigator,Randal Kleiser,1986
Float,Bobby Rubio,2019
Flowers and Trees,Burt Gillett,1932
Flubber,Les Mayfield,1997
Food for Feudin',Charles Nichols,1950
For the Birds,Ralph Eggleston,2001
Forky Asks a Question: What is Money?,Bob Peterson,2019
Frank and Ollie,Theodore Thomas,1995
Frankenweenie (Short),Tim Burton,1984
Freaky Friday,Mark Waters,2003
Free Solo,"Elizabeth Vasarhelyi, Jimmy Chin",2018
Frenemies,Daisy Mayer,2012
Frozen,"Chris Buck, Jennifer Lee",2013
Full-Court Miracle,Stuart Gillard,2003
Fun and Fancy Free,"Jack Kinney, W. Roberts, Hamilton Luske",1947
Fuzzbucket,Mick Garris,1986
Gargoyles,,1994
Geek Charming,Jeffrey Hornaday,2011
Genius,Rod Daniel,1999
George & A.J.,Josh Cooley,2009
Geri's Game,Jan Pinkava,1997
Get a Clue,Maggie Greenwald,2002
Giants of the Deep Blue,Ken Corben,2018
Girl Meets World,,2013
Go Figure,Francine McDougall,2005
Going to the Mat,Stuart Gillard,2004
Good Luck Charlie,,2009
"Good Luck Charlie, It's Christmas!",Arlene Sanford,2011
Goof Troop,,1992
Gotta Kick it Up,Ramon Menendez,2002
Grand Canyonscope,C. Nichols,1954
Grasshopper and the Ants,Wilfred Jackson,1934
Great Migrations,,2010
Greyfriars Bobby,Don Chaffey,1961
Gus,Vincent McEveety,1976
Halloweentown,Duwayne Dunham,1998
Halloweentown High,Mark Dippé,2004
Halloweentown II: Kalabar's Revenge,Mary Lambert,2001
Handy Manny,,2006
Hannah Montana,,2005
Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,Bruce Hendricks,2008
Hannah Montana The Movie,Peter Chelsom,2009
Hatching Pete,Stuart Gillard,2009
Hawaiian Holiday,Ben Sharpsteen,1937
Heavyweights,Steven Brill,1995
Herbie Goes Bananas,Vincent McEveety,1980
Herbie Goes to Monte Carlo,Vincent McEveety,1977
Herbie Rides Again,Robert Stevenson,1974
Hercules,"John Musker, Ron Clements",1997
High School Musical,Kenny Ortega,2006
High School Musical 2,Kenny Ortega,2007
High School Musical 3: Senior Year,Kenny Ortega,2008
High School Musical: The Musical: The Series,,2019
Hocus Pocus,Kenny Ortega,1993
Home on the Range,"Will Finn, John Sanford",2004
"Honey, I Blew Up the Kid",Randal Kleiser,1992
"Honey, I Shrunk the Kids",Joe Johnston,1989
"Honey, We Shrunk Ourselves",Dean Cundey,1997
Horse Sense,Greg Beeman,1999
Hostile Planet,,2019
Hounded,Neal Israel,2001
How Dogs Got Their Shapes,,2016
How to Build a Better Boy,Paul Hoen,2014
How to Fish,Jack Kinney,1942
How to Swim,Jack Kinney,1942
Hulk and the Agents of S.M.A.S.H.,,2012
I'll Be Home for Christmas,Arlene Sanford,1998
Ice Age: The Great Egg-Scapade,Ricardo Curtis,2016
Ice Princess,Tim Fywell,2005
Inner Workings,Leo Matsuda,2016
Inside Out,Pete Docter,2015
Inspector Gadget,David Kellogg,1999
Inspector Gadget 2,Alex Zamm,2003
Into the Grand Canyon,Pete McBride,2019
Into the Okavango,Neil Gelinas,2018
Invincible,Ericson Core,2006
Invisible Sister,Paul Hoen,2015
Iron Man (Series),,1994
Iron Man Armored Adventures,,2008
Iron Will,Charles Haid,1994
Jack,Francis Coppola,1996
Jack-Jack Attack,Brad Bird,2005
James and the Giant Peach,Henry Selick,1996
Jane,Brett Morgen,2017
Jessie,,2011
Jingle Pols,,2013
Johnny Kapahala: Back on Board,Eric Bross,2007
Johnny Tsunami,Steve Boyum,1999
Jonas Brothers: The Concert Experience,Bruce Hendricks,2009
Journey to Shark Eden,,2010
Journey to the Center of the Earth,Henry Levin,1959
Jump In!,Paul Hoen,2007
Jumping Ship,Michael Lange,2001
Jungle 2 Jungle,John Pasquin,1997
Jungle Cat,James Algar,1960
Kazaam,Paul Glaser,1996
Kickin' It,,2010
Kim Possible,"Adam Stein, Zach Lipovsky",2019
Kim Possible Movie: So the Drama,Steve Loter,2005
Kingdom of the Apes: Battle Lines,,2017
Kingdom of the Blue Whale,,2009
Kingdom of the White Wolf,,2019
Kitbull,Rosana Sullivan,2019
Knick Knack Theatrical Short,John Lasseter,2003
Kronk's New Groove,"Elliot Bour, Saul Blinkoff",2005
La Luna,Enrico Casarosa,2012
Lab Rats,,2011
Lady and the Tramp,Charlie Bean,2019
Lava,James Murphy,2015
LEGO Disney Frozen: Northern Lights (Shorts),,2016
LEGO Star Wars: All Stars,,2018
LEGO Star Wars: All Stars (Shorts),,2018
LEGO Star Wars: Droid Tales,,2014
LEGO Star Wars: Resistance Rises (Shorts),,2015
LEGO Star Wars: The Freemaker Adventures,,2015
LEGO Star Wars: The Freemaker Adventures (Shorts),,2016
LEGO Star Wars: The New Yoda Chronicles - Clash of the Skywalkers,Michael Hegner,2014
LEGO Star Wars: The New Yoda Chronicles - Raid on Coruscant,Michael Hegner,2014
LEGO Star Wars: The New Yoda Chronicles – Duel of the Skywalkers,Michael Hegner,2014
LEGO Star Wars: The New Yoda Chronicles – Escape from the Jedi Temple,Michael Hegner,2014
LEGO Star Wars: The New Yoda Chronicles – Race for the Holocrons,Michael Hegner,2014
Lemonade Mouth,Patricia Riggen,2011
Lend a Paw,Clyde Geronimi,1941
Leroy & Stitch,"Roberts Gannaway, Tony Craig",2006
Let it Shine,Paul Hoen,2012
Life is Ruff,Charles Haid,2005
Life With Mikey,James Lapine,1993
Life-Size 2,Steven Tsuchida,2018
Lifted,Gary Rydstrom,2006
Lilo & Stitch,"Christopher Sanders, Dean DeBlois",2002
Lilo & Stitch 2: Stitch Has a Glitch,"Tony Leondis, Michael LaBash",2005
Lizzie McGuire,,2000
Lonesome Ghosts,Burt Gillett,1937
Lost Treasures of the Maya,,2018
Lou,Dave Mullins,2017
Luck of the Irish,Paul Hoen,2001
Luxo Jr.,,1986
Magician Mickey,David Hand,1937
Mail Dog,Charles Nichols,1947
Man Among Cheetahs,,2017
Mars: Inside SpaceX,Julia Reagan,2018
Marvel Comics X-Men,,1992
Marvel Rising: Initiation (Shorts),,2017
Marvel Rising: Secret Warriors,Alfred Gimeno,2018
Marvel Studios: Assembling A Universe,,2014
Marvel Studios: Expanding the Universe,,2019
Marvel Studios' Ant-Man,Peyton Reed,2015
Marvel Studios' Avengers: Age of Ultron,Joss Whedon,2015
Marvel Studios' Avengers: Endgame,"Anthony Russo, Joe Russo",2019
Marvel Studios' Captain America: Civil War,"Anthony Russo, Joe Russo",2016
Marvel Studios' Captain America: The First Avenger,Joe Johnston,2011
Marvel Studios' Captain America: The Winter Soldier,"Anthony Russo, Joe Russo",2014
Marvel Studios' Captain Marvel,"Anna Boden, Ryan Fleck",2019
Marvel Studios' Doctor Strange,Scott Derrickson,2016
Marvel Studios' Guardians of the Galaxy,James Gunn,2014
Marvel Studios' Guardians of the Galaxy Vol. 2,James Gunn,2017
Marvel Studios' Iron Man,Jon Favreau,2008
Marvel Studios' Iron Man 2,Jon Favreau,2010
Marvel Studios' Iron Man 3,Shane Black,2013
Marvel Studios' The Avengers,Joss Whedon,2012
Marvel Studios' Thor,Kenneth Branagh,2011
Marvel Studios' Thor: The Dark World,Alan Taylor,2013
Marvel Ultimate Spider-Man,,2011
Marvel's Agent Carter,,2014
Marvel's Ant-Man (Shorts),,2016
Marvel's Avengers Assemble,,2012
Marvel's Avengers: Secret Wars (Shorts),,2016
Marvel's Guardians of the Galaxy (Series),,2015
Marvel's Guardians of the Galaxy (Shorts),,2014
Marvel's Hero Project,,2019
Marvel's Inhumans,,2017
Marvel's Rocket & Groot (Shorts),,2016
Marvel's Ultimate Comics,,2016
Mary Poppins,Robert Stevenson,1964
Mater and the Ghostlight,John Lasseter,2006
Meet the Deedles,Steve Boyum,1998
Meet the Robinsons,Stephen Anderson,2007
Melody Time,"Clyde Geronimi, Jack Kinney, Hamilton Luske",1948
Mickey Down Under,Charles Nichols,1948
Mickey Mouse (Shorts),,2012
Mickey Mouse Club (1955-59),,1955
"Mickey, Donald, Goofy: The Three Musketeers",Donovan Cook,2004
Mickey's Birthday Party,Riley Thomson,1942
Mickey's Christmas Carol,Burny Mattinson,1983
Mickey's Delayed Date,Charles Nichols,1947
Mickey's Once Upon a Christmas,"Bradley Raymond, Jun Falkenstein, Bill Speers",1999
Mickey's Rival,"Wilfred Jackson, Walt Disney",1936
Mickey's Trailer,Ben Sharpsteen,1938
Mickey's Twice Upon a Christmas,Matthew O'Callaghan,2004
Mighty Joe Young,Ron Underwood,1998
Mike's New Car,"Pete Docter, Roger Gould",2002
Minutemen,Lev Spiro,2008
Miracle,Gavin O'Connor,2004
Miracle at Midnight,Ken Cameron,1998
Miracle in Lane 2,Greg Beeman,2000
Miracle Landing on the Hudson,,2014
Mission to the Sun,Daniel Smith,2018
Moana,"John Musker, Ron Clements",2016
Mom's Got a Date With a Vampire,Stephen Boyum,2000
Monsters University,Dan Scanlon,2013
"Monsters, Inc.",Pete Docter,2001
Motocrossed,Steve Boyum,2001
Mr. Boogedy,Oz Scott,1986
Mr. Duck Steps Out,Jack King,1940
Mr. Mouse Takes a Trip,Clyde Geronimi,1940
Mulan II,"Darrell Rooney, Lynne Southerland",2005
Muppet Moments (Shorts),,2014
Muppet Treasure Island,Brian Henson,1996
Muppets Most Wanted,James Bobin,2014
My Favorite Martian,Donald Petrie,1999
My Friends Tigger & Pooh,,2006
National Treasure: Book of Secrets,Jon Turteltaub,2007
Newsies,Kenny Ortega,1992
Newsies: The Broadway Musical,"Jeff Calhoun, Brett Sullivan",2017
Noelle,Marc Lawrence,2019
Now You See It,Duwayne Dunham,2005
Olaf's Frozen Adventure,"Stevie Wermers-Skelton, Kevin Deters",2017
Old Yeller,Robert Stevenson,1957
Oliver & Company,George Scribner,1988
Once Upon a Mattress,Kathleen Marshall,2005
One Magic Christmas,Phillip Borsos,1985
One Man Band,"Mark Andrews, Andrew Jimenez",2006
Operation Dumbo Drop,Simon Wincer,1995
Origins: The Journey of Humankind,,2016
Out of the Box,,1998
Paris To Pittsburgh,"Sidney Beaumont, Michael Bonfiglio",2018
Partly Cloudy,Peter Sohn,2009
Party Central,Kelsey Mann,2014
Perri,"N. Paul Kenworthy, Ralph Wright",1957
Pete's Dragon,David Lowery,2016
Peter Pan,"Hamilton Luske, Clyde Geronimi, Wilfred Jackson",1953
Peter Pan: Return to Never Land,Robin Budd,2002
Phantom of the Megaplex,Blair Treu,2000
Phil of the Future,,2003
Phineas and Ferb,,2007
Phineas and Ferb the Movie: Across the 2nd Dimension,"Dan Povenmire, Robert Hughes",2011
Phineas and Ferb: Mission Marvel,"Robert Hughes, Sue Perrotto",2013
Piglet's Big Movie,Francis Glebas,2003
Pinocchio,"Ben Sharpsteen, Hamilton Luske",1940
Piper,Alan Barillaro,2016
Pirates of the Caribbean: At World's End,Gore Verbinski,2007
Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,2006
Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,2003
Pixar In Real Life,,2019
Pixel Perfect,Mark Dippé,2004
Planet of the Birds,,2018
Pluto and the Gopher,Charles Nichols,1950
Pluto's Christmas Tree,Jack Hannah,1952
Pluto's Surprise Package,Charles Nichols,1949
Pluto's Sweater,Charles Nichols,1949
Pocahontas,"Mike Gabriel, Eric Goldberg",1995
Pocahontas II: Journey to a New World,"Bradley Raymond, Tom Ellery",1998
Pollyanna,David Swift,1960
Pooh's Grand Adventure: The Search for Christopher Robin,Karl Geurs,1997
Pooh's Heffalump Movie,Frank Nissen,2005
Presto,Doug Sweetland,2008
Princess Protection Program,Allison Liddi-Brown,2009
Purl,Kristen Lester,2019
Quack Pack,,1996
Queen of Katwe,Mira Nair,2016
Quints,Bill Corcoran,2000
Ratatouille,Brad Bird,2007
Read It and Weep,Paul Hoen,2006
Ready to Run,Duwayne Dunham,2000
Recess: All Growed Down,"Howy Parkins, Chuck Sheetz",2003
Recess: School's Out,Chuck Sheetz,2001
Recess: Taking the 5th Grade,Howy Parkins,2003
Red's Dream,John Lasseter,1987
Remember the Titans,Boaz Yakin,2000
Rescue Dog,Charles Nichols,1947
Return from Witch Mountain,John Hough,1978
Return to Halloweentown,David Jackson,2006
Return to Oz,Walter Murch,1985
Richie Rich's Christmas Wish,John Murlowski,1998
Right on Track,Duwayne Dunham,2003
Riley’s First Date?,Josh Cooley,2015
Rip Girls,Joyce Chopra,2000
Robin Hood,Wolfgang Reitherman,1973
Rocky Mountain Animal Rescue,,2018
Rogue One: A Star Wars Story,Gareth Edwards,2016
Roving Mars,George Butler,2006
Ruby Bridges,Euzhan Palcy,1998
Sacred Planet,Jon Long,2004
Saludos Amigos,"Bill Roberts, Jack Kinney, Ham Luske",1943
"Sammy, The Way-Out Seal",Norman Tokar,1962
Sanjay's Super Team,Sanjay Patel,2015
Santa Paws 2: The Santa Pups,Robert Vince,2012
Santa's Workshop,Wilfred Jackson,1932
Saving Mr. Banks,John Hancock,2013
Science Fair,"Cristina Costantini, Darren Foster",2018
Sea of Hope: America's Underwater Treasures,Robert Nixon,2017
Secret of The Wings,Peggy Holmes,2012
Secretariat,Randall Wallace,2010
Secrets of Christ's Tomb: Explorer Special,Bob Strange,2017
Secrets of Life,James Algar,1956
Secrets of the King Cobra,,2012
Shake It Up,,2010
Sharks of Lost Island,,2013
Sharpay's Fabulous Adventure,Michael Lembeck,2011
Shipwrecked,Nils Gaup,1991
Silver Surfer,,1997
Simpsons Movie,David Silverman,2007
Sister Act,Emile Ardolino,1992
Sister Act 2: Back in the Habit,Bill Duke,1993
Skyrunners,Ralph Hemecker,2009
Sleeping Beauty,Clyde Geronimi,1959
Smart House,LeVar Burton,1999
Smash and Grab,Brian Larsen,2019
Snow White and The Seven Dwarfs,David Hand,1937
Snowball Express,Norman Tokar,1972
Snowglobe,Ron Lagomarsino,2007
So Weird,,1999
Society Dog Show,Bill Roberts,1939
Spider-Man (Shorts),,2016
Spider-Man and His Amazing Friends,,1982
Spider-Man Unlimited,,1999
Spider-Woman,,1979
Star Wars Forces of Destiny (Shorts),,2016
Star Wars Rebels,,2014
Star Wars Rebels (Shorts),,2014
Star Wars: A New Hope (Episode IV),George Lucas,1977
Star Wars: Attack of the Clones (Episode II),George Lucas,2002
Star Wars: Blips,,2019
Star Wars: Return of the Jedi (Episode VI),Richard Marquand,1983
Star Wars: Revenge of the Sith (Episode III),George Lucas,2005
Star Wars: The Empire Strikes Back (Episode V),Irvin Kershner,1980
Star Wars: The Force Awakens (Episode VII),J.J. Abrams,2015
Star Wars: The Phantom Menace (Episode I),George Lucas,1999
Starstruck,Michael Grossman,2010
Steamboat Willie,"Walt Disney, Ub Iwerks",1928
Stepsister from Planet Weird,Steve Boyum,2000
Stitch! The Movie,"Tony Craig, Bobs Gannaway",2003
Stonehenge Decoded: Secrets Revealed,Christopher Spencer,2008
Stuck in the Suburbs,Savage Holland,2004
Sultan and the Rock Star,Ed Abroms,1980
Super Buddies,Robert Vince,2013
Swiss Family Robinson,Edward Ludwig,1940
TaleSpin,,1990
Tall Tale,Jeremiah Chechik,1995
Tangled,"Nathan Greno, Byron Howard",2010
Tangled Before Ever After,"Tom Caulfield, Stephen Sandoval",2017
Tarzan & Jane,Steve Loter,2002
Teacher's Pet,Timothy Björklund,2004
Teen Beach 2,Jeffrey Hornaday,2015
Teen Beach Movie,Jeffrey Hornaday,2013
Teen Spirit,Gil Junger,2011
That Darn Cat,Bob Spiers,1997
That Darn Cat!,Robert Stevenson,1965
The Absent-Minded Professor,Robert Stevenson,1961
The Adventures of André & Wally B.,Alvy Smith,1984
The Adventures of Bullwhip Griffin,James Neilson,1967
The Adventures of Huck Finn,Stephen Sommers,1993
The Adventures of Ichabod and Mr. Toad,"Jack Kinney, Clyde Geronimi, James Algar",1949
The Adventures of Spin and Marty,,1955
The African Lion,James Algar,1955
The Apple Dumpling Gang,Norman Tokar,1975
The Apple Dumpling Gang Rides Again,Vincent McEveety,1979
The Aristocats,Wolfgang Reitherman,1970
The Art of Skiing,Jack Kinney,1941
The Avengers: Earth's Mightiest Heroes,,2010
The Avengers: United They Stand,,1999
The Band Concert,"Wilfred Jackson, Walt Disney",1935
The Bears and I,Bernard McEveety,1974
The Big Bad Wolf,Burt Gillett,1934
The Biscuit Eater,Vincent McEveety,1972
The Black Cauldron,"Ted Berman, Richard Rich",1985
The Black Hole,Gary Nelson,1979
The Blue Umbrella,Saschka Unseld,2013
The Book of Once Upon a Time,,2014
The Book of Pooh,,2000
The Brave Little Toaster Goes to Mars,Robert Ramirez,1998
The Castaway Cowboy,Vincent McEveety,1974
The Cheetah Girls,Oz Scott,2003
The Cheetah Girls 2,Kenny Ortega,2006
The Cheetah Girls: One World,Paul Hoen,2008
The Christmas Star,Alan Shapiro,1986
The Chronicles of Narnia: Prince Caspian,Andrew Adamson,2008
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Andrew Adamson,2005
The Color of Friendship,Kevin Hooks,2000
The Computer Wore Tennis Shoes,Robert Butler,1969
The Country Bears,Peter Hastings,2002
The Emperor's New Groove,Mark Dindal,2000
The Even Stevens Movie,Sean McNamara,2003
The Flood,Brad Bestelink,2018
The Fox and the Hound,"Art Stevens, Ted Berman, Richard Rich",1981
The Fox and the Hound 2,Jim Kammerud,2006
The Game Plan,Andy Fickman,2007
The Ghosts of Buxley Hall,Bruce Bilson,1980
The Goddess of Spring,Wilfred Jackson,1934
The Golden Touch,Walt Disney,1935
The Good Dinosaur,Peter Sohn,2015
The Great Muppet Caper,Jim Henson,1981
The Greatest Game Ever Played,Bill Paxton,2005
The Haunted Mansion,Rob Minkoff,2003
The Hockey Champ,Jack King,1939
The Hunchback of Notre Dame,"Gary Trousdale, Kirk Wise",1996
The Hunchback of Notre Dame II,Bradley Raymond,2002
The Imagineering Story,,2019
The Incredible Journey,Fletcher Markle,1963
The Incredibles,Brad Bird,2004
The Journey of Natty Gann,Jeremy Kagan,1985
The Jungle Book 2,Steve Trenbirth,2003
The Jungle Book: Mowgli's Story,Nick Marck,1998
The Legend of Mor'du,Brian Larsen,2012
The Lion King 1 1/2,Bradley Raymond,2004
The Lion King 2: Simba's Pride,Darrell Rooney,1998
The Little Mermaid,"Ron Clements, John Musker",1989
The Little Mermaid II:  Return to the Sea,Jim Kammerud,2000
The Little Mermaid:  Ariel's Beginning,Peggy Holmes,2008
The Little Whirlwind,Riley Thomas,1941
The Living Desert,James Algar,1953
The Lizzie McGuire Movie,Jim Fall,2003
The Lost Tomb of Alexander the Great,Duncan Singh,2019
The Love Bug (1969),Robert Stevenson,1969
The Many Adventures of Winnie the Pooh,"Wolfgang Reitherman, John Lounsbery",1977
