Character,Original voice actor,Animated debut
SR-V,None[17],WALL-E
Stacy Frick,Lily Sanfelippo[2],Turning Red
Steel,Dale Soules,Lightyear
Steve,Danny Mann[6],Up
Stinky Pete the Prospector,Kelsey Grammer[7],Toy Story 2
Stretch,Whoopi Goldberg[12],Toy Story 3
Strip Weathers,Richard Petty[28],Cars
Stu,Gary Rydstrom[33],Lifted
Super Pirate,Angus MacLane[29],Small Fry
SUPPLY-R,Tessa Swigart[26],BURN-E
Susan Jensen,None[4],Monsters University
Syndrome/Buddy Pine,Jason Lee[23],The Incredibles
T-Bone,Angus MacLane[29],Small Fry
TA-NK,None[17],WALL-E
Tae-Kwon Doe,Lori Alan[29],Small Fry
Tae Young,Grayson Villanueva[2],Turning Red
Taylor Holbook,Beth Behrs[4],Monsters University
Terri Perry,Sean Hayes[4],Monsters University
Terry,Rachel House[1],Soul
Terry Perry,Dave Foley[4],Monsters University
Thaddeus Bile,Jeff Pidgeon[3],"Monsters, Inc."
THIRST-E,None[17],WALL-E
Thunderclap,Steve Zahn[16],The Good Dinosaur
Tia,Elissa Knight[28],Cars
Timmy,Cristina Pucelli[31],Party Central
Tinny,Sárközi Olivér[25],Tin Toy
Tippy,None[21],One Man Band
Todd the Pizza Planet truck,None,Cars
Tom,John Ratzenberger[6],Up
Tomber,Michel Michelis[5],Cars 2
Tony,Guido Quaroni[3],"Monsters, Inc."
Tony Rydinger,Michael Bird[23],The Incredibles
Tony Trihull,Lloyd Sherr[5],Cars 2
Totoro,None[12],Toy Story 3
Tour Guide Barbie,Jodi Benson[7],Toy Story 2
Treble,None[21],One Man Band
Trixie,Kristen Schaal[12],Toy Story 3
Troikas,None[11],Toy Story
Troll,None[11],Toy Story
Tuck and Roll,Michael McShane[32],A Bug's Life
Twitch,John Cygan[12],Toy Story 3
Tyler Nguyen-Baker,Tristan Allerick Chen[2],Turning Red
TYP-E,None[17],WALL-E
Ugo Paguro,Sacha Baron Cohen[8],Luca
Uku,Kuana Torres Kahele[36],Lava
Uncle Topolino,Franco Nero[5],Cars 2
The Underminer,John Ratzenberger[23],The Incredibles
Van,Richard Kind[28],Cars
VAQ-M,None[17],WALL-E
VEND-R,None[17],WALL-E
Victoria Rivera,Dyana Ortellí[24],Coco
Violet Parr,Sarah Vowell[23],The Incredibles
Violet Steslicki,None[4],Monsters University
Vlad the Engineer,Jess Harnell[29],Small Fry
VN-GO,Carlos Alazraqui[17],WALL-E
Voyd,Sophia Bush[34],Incredibles 2
VRE-S,None[17],WALL-E
WALL-A,None[17],WALL-E
WALL-E,Ben Burtt[17],WALL-E
WALL-O,Ben Burtt[17],WALL-E
Wally B.,None[14],The Adventures of André & Wally B.
Waxford,None[3],"Monsters, Inc."
Wee Dingwall,Callum O'Neill[30],Brave
WEND-E,Ben Burtt[17],WALL-E
Wheezy,Joe Ranft[7],Toy Story 2
Wilden Lightfoot,Kyle Bornheimer[18],Onward
Winston Deavor,Bob Odenkirk[34],Incredibles 2
The Witch,Julie Walters[30],Brave
Wu,Wai Ching Ho[2],Turning Red
Young Andy,Charlie Bright[12],Toy Story 3
Young Carl,Jeremy Leary[6],Up
Young MacGuffin,Kevin McKidd[30],Brave
Young Macintosh,Steven Cree[30],Brave
Young Merida,Peigi Barker[30],Brave
Young Mike,Noah Johnston[4],Monsters University
Al McWhiggin,Wayne Knight[7],Toy Story 2
Aliens,Jeff Pidgeon[7][11][12],Toy Story
Andy Davis,John Morris[7][11][12],Toy Story
Andy's Mom,Laurie Metcalf[7][11][12],Toy Story
Babs,Lori Richardson[19],Partysaurus Rex
Babyface,None[11],Toy Story
Barbie,Jodi Benson[12],Toy Story 3
Benson,Steve Purcell[22],Toy Story 4
Bonnie,Emily Hahn,Toy Story 3
