Title,Year,Rated,Released,Runtime,Director,Writer,Actors,Language,Country,Awards,Metascore,IMDBRating,imdbVotes,imdbID,genres
Liv and Maddie,2013,TV-G,19 Jul 2013,22,,John D. Beck| Ron Hart,Dove Cameron| Joey Bragg| Tenzing Norgay Trainor,English,United States,1 win & 10 nominations,-1.0,6.3,8218,tt2794380,Comedy|Drama|Family
Secrets of the Whales,2021,TV-PG,22 Apr 2021,191,,,Sigourney Weaver| Shane Gero,English,United States,Won 1 Primetime Emmy. 1 win & 4 nominations total,-1.0,8.6,527,tt12824750,Documentary|Adventure
Big Shot,2021,TV-PG,16 Apr 2021,-1,,Brad Garrett| David E. Kelley| Dean Lorey,John Stamos| Jessalyn Gilsig| Richard Robichaux,English,United States,1 nomination,-1.0,7.6,3620,tt11238096,Comedy|Drama|Sport
Earth Moods,2021,TV-G,16 Apr 2021,30,,,,English,United States,,-1.0,8.0,155,tt14260676,Documentary|Adventure
Rio,2011,PG,15 Apr 2011,96,Carlos Saldanha,Carlos Saldanha| Earl Richey Jones| Todd R. Jones,Jesse Eisenberg| Anne Hathaway| George Lopez,English|Portuguese|Arabic,United States,Nominated for 1 Oscar. 3 wins & 31 nominations total,63.0,6.9,221629,tt1436562,Adventure|Animation|Children|Comedy
The Kid Who Would Be King,2019,PG,25 Jan 2019,120,Joe Cornish,Joe Cornish,Louis Ashbourne Serkis| Denise Gough| Dean Chaumoo,English,United Kingdom| United States,2 wins & 4 nominations,66.0,6.1,16432,tt6811018,Action|Adventure|Children|Fantasy
Treasure Buddies,2012,G,31 Jan 2012,93,Robert Vince,"Robert Vince| Anna McRoberts| Kevin DiCicco (character created by: ""Air Bud"")| Paul Tamasy (characters created by)| Aaron Mendelsohn (characters created by)",Tucker Albrizzi| Adam Alexi-Malle| Tim Conway| Mason Cook,English,USA| Canada,,-1.0,4.5,1678,tt1791658,Children|Comedy
Cesar Millan: The Real Story,2012,G,25 Nov 2012,45,Doug Shultz,Erica Sashin| Doug Shultz,Jahira Dar| Lou Dimovitch| Tara King,English,United States,,-1.0,6.9,66,tt3249810,Documentary|Biography
Kick Buttowski: Suburban Daredevil,2010,TV-Y7,12 Feb 2010,23,,Sandro Corsaro,Charlie Schlatter| Matt Jones| Danny Cooksey,English,United States,Nominated for 1 Primetime Emmy. 9 nominations total,-1.0,6.6,4800,tt1600757,Animation|Action|Adventure
Mark Twain and Me,1991,G,22 Nov 1991,93,Daniel Petrie,Dorothy Quick (book)| Cynthia Whitcomb,Jason Robards| Talia Shire| R.H. Thomson| Fiona Reid,English,Canada| USA,Won 2 Primetime Emmys. Another 4 wins & 5 nominations.,-1.0,6.8,124,tt0102404,Biography|Drama
