Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Metascore,IMDBRating,imdbVotes,imdbID,total_gross,inflation_adjusted_gross,movieId,title,genres,movie_title,year
Aliens of the Deep,2005,G,25 Aug 2005,100.0,Documentary|Family,Documentary|Family,,JamesCameron|AnatolyM.Sagalevitch|GenyaChernaiev,English,UnitedStates,,71.0,6.4,3003,tt0417415,8968684.0,12443647.0,31429.0,Aliens of the Deep (2005),Documentary|Family,Aliens of the Deep,2005.0
Alive,1993,R,15 Jan 1993,120.0,Biography|Drama|Thriller,Biography|Drama|Thriller,PiersPaulRead|JohnPatrickShanley,EthanHawke|VincentSpano|JoshHamilton,English,UnitedStates|Canada,1 win & 1 nomination,56.0,7.1,54692,tt0106246,36299670.0,68070045.0,3250.0,Alive (1993),Biography|Drama|Thriller,Alive,1993.0
Amy,1981,G,20 Mar 1981,100.0,Drama|Family,Drama|Family,NoreenStone,JennyAgutter|BarryNewman|KathleenNolan,English|AmericanSign,UnitedStates,2 nominations,-1.0,6.6,458,tt0082017,0.0,0.0,137337.0,,Drama|Family,,
An American Werewolf in Paris,1997,R,25 Dec 1997,98.0,Comedy|Fantasy|Horror,Comedy|Fantasy|Horror,JohnLandis|TimBurns|TomStern,TomEverettScott|JulieDelpy|VinceVieluf,English|French|German,UnitedKingdom|Netherlands|Luxembourg|UnitedStates|France|Germany,3 wins & 1 nomination,31.0,5.1,24800,tt0118604,26570463.0,44858556.0,,,Comedy|Fantasy|Horror,,
An Innocent Man,1989,R,06 Oct 1989,113.0,Action|Crime|Drama,Action|Crime|Drama,LarryBrothers,TomSelleck|F.MurrayAbraham|LailaRobins,English,UnitedStates,,39.0,6.5,6813,tt0097579,19397847.0,42388988.0,,,Action|Crime|Drama,,
Angels in the Outfield,1994,PG,15 Jul 1994,102.0,Comedy|Family|Fantasy,Comedy|Family|Fantasy,DorothyKingsley|GeorgeWells|RichardConlin,DannyGlover|BrendaFricker|TonyDanza,English,UnitedStates,1 win & 4 nominations,44.0,6.2,31482,tt0109127,50236831.0,91853401.0,1021.0,Angels in the Outfield (1994),Comedy|Family|Fantasy,Angels in the Outfield,1994.0
Angie,1994,R,04 Mar 1994,107.0,Comedy|Drama|Romance,Comedy|Drama|Romance,AvraWing|ToddGraff,GeenaDavis|StephenRea|JamesGandolfini,English,UnitedStates,1 nomination,-1.0,5.5,2193,tt0109129,9252349.0,16917064.0,6788.0,Angie (1994),Comedy|Drama|Romance,Angie,1994.0
Annapolis,2006,PG-13,27 Jan 2006,108.0,Drama|Romance|Sport,Drama|Romance|Sport,DavidCollard,JamesFranco|JordanaBrewster|TyreseGibson,English,UnitedStates,,37.0,5.8,21020,tt0417433,17127992.0,23021686.0,43556.0,Annapolis (2006),Drama|Romance|Sport,Annapolis,2006.0
Another Stakeout,1993,PG-13,23 Jul 1993,108.0,Comedy|Crime,Comedy|Crime,JimKouf,RichardDreyfuss|EmilioEstevez|RosieO'Donnell,English,UnitedStates,1 nomination,53.0,5.6,13970,tt0106292,20107504.0,37706092.0,415.0,Another Stakeout (1993),Comedy|Thriller,Another Stakeout,1993.0
Ant-Man,2015,PG-13,17 Jul 2015,117.0,Action|Adventure|Comedy,Action|Adventure|Comedy,EdgarWright|JoeCornish|AdamMcKay,PaulRudd|MichaelDouglas|CoreyStoll,English,UnitedStates,Nominated for 1 BAFTA Film Award4 wins & 34 nominations total,64.0,7.3,635594,tt0478970,180202163.0,206016362.0,122900.0,Ant-Man (2015),Action|Adventure|Sci-Fi,Ant-Man,2015.0
Ant-Man and the Wasp,2018,PG-13,06 Jul 2018,118.0,Action|Adventure|Comedy,Action|Adventure|Comedy,ChrisMcKenna|ErikSommers|PaulRudd,PaulRudd|EvangelineLilly|MichaelPeña,English|Spanish|French,UnitedStates|Canada,2 wins & 21 nominations,70.0,7.0,373149,tt5095030,216648740.0,233786031.0,188301.0,Ant-Man and the Wasp (2018),Action|Adventure|Comedy|Fantasy|Sci-Fi,Ant-Man and the Wasp,2018.0
Apocalypto,2006,R,08 Dec 2006,139.0,Action|Adventure|Drama,Action|Adventure|Drama,MelGibson|FarhadSafinia,GerardoTaracena|RaoulMaxTrujillo|DaliaHernández,Maya,UnitedStates,Nominated for 3 Oscars. 9 wins & 23 nominations total,68.0,7.8,306157,tt0472043,50866635.0,68369702.0,48304.0,Apocalypto (2006),Adventure|Drama|Thriller,Apocalypto,2006.0
Arachnophobia,1990,PG-13,18 Jul 1990,109.0,Comedy|Horror|Thriller,Comedy|Horror|Thriller,DonJakoby|AlWilliams|WesleyStrick,JeffDaniels|JulianSands|JohnGoodman,English|Spanish,UnitedStates,2 wins & 5 nominations,67.0,6.5,68662,tt0099052,53208180.0,110312322.0,2699.0,Arachnophobia (1990),Comedy|Horror|Thriller,Arachnophobia,1990.0
