imdb_id,awards,released,awards_id
tt2281587,Nominated for 1 BAFTA Film Award3 wins & 11 nominations total,21 Mar 2014,aw0285
tt0107626,,06 Aug 1993,aw0286
tt0120764,3 nominations,12 Feb 1999,aw0287
tt0089652,,09 Aug 1985,aw0288
tt0134618,1 nomination,01 Oct 1999,aw0289
tt0368891,1 win & 9 nominations,19 Nov 2004,aw0290
tt0465234,1 win & 5 nominations,21 Dec 2007,aw0291
tt2369135,1 win & 5 nominations,14 Mar 2014,aw0292
tt0086005,Nominated for 1 Oscar. 4 wins & 3 nominations total,27 Jan 1984,aw0293
tt0097965,1 win,10 Mar 1989,aw0294
tt0104990,1 win & 6 nominations,10 Apr 1992,aw0295
tt0082810,2 nominations,05 Feb 1982,aw0296
tt0113987,Nominated for 4 Oscars. 11 wins & 18 nominations total,05 Jan 1996,aw0297
tt0105017,1 nomination,20 Mar 1992,aw0298
tt0119807,1 win,18 Jul 1997,aw0299
tt0190590,Nominated for 2 Oscars. 8 wins & 39 nominations total,02 Feb 2001,aw0300
tt1723746,,,aw0301
tt0091668,,11 Apr 1986,aw0302
tt0976238,5 nominations,25 Nov 2009,aw0303
tt0095776,1 win & 2 nominations,18 Nov 1988,aw0304
tt0102593,1 nomination,03 May 1991,aw0305
tt0089731,2 wins & 7 nominations,22 Nov 1985,aw0306
tt7146812,Nominated for 1 Oscar. 4 wins & 65 nominations total,06 Mar 2020,aw0307
tt0316356,1 win & 5 nominations,15 Aug 2003,aw0308
tt0114048,,28 Jul 1995,aw0309
tt0102603,3 nominations,26 Apr 1991,aw0310
tt0253798,,21 Nov 2001,aw0311
tt0093690,2 wins & 1 nomination,30 Jan 1987,aw0312
tt1623205,6 wins & 31 nominations,08 Mar 2013,aw0313
tt0102631,1 win & 4 nominations,04 Oct 1991,aw0314
tt0105103,1 nomination,24 Apr 1992,aw0315
tt0213149,Won 1 Oscar. 14 wins & 51 nominations total,25 May 2001,aw0316
tt8080302,1 win & 1 nomination,17 Apr 2019,aw0317
tt1716777,,29 Jun 2012,aw0318
tt0280030,4 nominations,15 Feb 2002,aw0319
tt2788732,3 wins & 7 nominations,12 Aug 2016,aw0320
tt0117333,7 wins & 8 nominations,03 Jul 1996,aw0321
tt0323642,1 nomination,21 Mar 2003,aw0322
tt0032910,Won 2 Oscars. 7 wins total,23 Feb 1940,aw0323
tt0449088,Nominated for 2 Oscars. 23 wins & 51 nominations total,25 May 2007,aw0324
tt0383574,Won 1 Oscar. 45 wins & 54 nominations total,07 Jul 2006,aw0325
tt1790809,1 win & 13 nominations,26 May 2017,aw0326
tt1298650,3 wins & 31 nominations,20 May 2011,aw0327
tt0325980,Nominated for 5 Oscars. 38 wins & 104 nominations total,09 Jul 2003,aw0328
tt0196857,,21 Jan 2000,aw0329
tt0119906,,17 Oct 1997,aw0330
tt0114148,Won 2 Oscars. 15 wins & 7 nominations total,23 Jun 1995,aw0331
tt0407121,1 nomination,11 Feb 2005,aw0332
tt0114168,2 nominations,27 Oct 1995,aw0333
tt0119937,,24 Jan 1997,aw0334
tt0100405,Nominated for 1 Oscar. 8 wins & 11 nominations total,23 Mar 1990,aw0335
tt0808096,Nominated for 1 BAFTA Film Award5 nominations total,09 Aug 2008,aw0336
tt0473075,1 win & 11 nominations,28 May 2010,aw0337
tt1604171,1 nomination,29 Apr 2011,aw0338
tt4341582,3 wins & 26 nominations,30 Sep 2016,aw0339
tt0110932,Nominated for 4 Oscars. 6 wins & 36 nominations total,07 Oct 1994,aw0340
tt1075417,1 nomination,13 Mar 2009,aw0341
tt0350028,1 nomination,28 May 2004,aw0342
tt5848272,Nominated for 1 Oscar. 3 wins & 67 nominations total,21 Nov 2018,aw0343
tt0117438,3 wins & 5 nominations,08 Nov 1996,aw0344
tt0382932,Won 1 Oscar. 67 wins & 42 nominations total,29 Jun 2007,aw0345
tt5109280,Nominated for 1 Oscar. 10 wins & 59 nominations total,05 Mar 2021,aw0346
tt0433035,Nominated for 1 Oscar. 2 wins & 6 nominations total,07 Oct 2011,aw0347
tt0265632,,16 Feb 2001,aw0348
tt0253556,1 win & 3 nominations,12 Jul 2002,aw0349
tt0210945,8 wins & 18 nominations,29 Sep 2000,aw0350
tt0110971,,03 Jun 1994,aw0351
tt0089908,Nominated for 1 Oscar. 6 nominations total,21 Jun 1985,aw0352
tt0095993,2 nominations,15 Apr 1988,aw0353
tt0120029,,10 Oct 1997,aw0354
tt3748528,Nominated for 2 Oscars. 24 wins & 85 nominations total,16 Dec 2016,aw0355
tt0120032,4 nominations,25 Apr 1997,aw0356
