Title,Year,Rated,Released,Runtime,Awards,Metascore,IMDBRating,imdbVotes,imdbID
"Good Morning, Vietnam",1987,R,15 Jan 1988,121,Nominated for 1 Oscar. 7 wins & 4 nominations total,67.0,7.3,"137,080",tt0093105
Gross Anatomy,1989,PG-13,20 Oct 1989,109,NA,-1.0,6.2,"3,841",tt0097458
Guardians of the Galaxy,2014,PG-13,01 Aug 2014,121,Nominated for 2 Oscars. 52 wins & 102 nominations total,76.0,8.1,"1,131,146",tt2015381
He Got Game,1998,R,01 May 1998,136,10 nominations,64.0,6.9,"47,287",tt0124718
Herbie Goes to Monte Carlo,1977,G,24 Jun 1977,105,NA,38.0,5.7,"7,357",tt0076137
Hercules,1997,G,27 Jun 1997,93,Nominated for 1 Oscar. 9 wins & 16 nominations total,74.0,7.3,"223,164",tt0119282
High School Musical 3: Senior Year,2008,G,24 Oct 2008,112,8 wins & 9 nominations,57.0,4.9,"61,618",tt0962726
Holy Man,1998,PG,09 Oct 1998,114,1 nomination,41.0,4.9,"19,964",tt0120701
"Honey, I Shrunk the Kids",1989,PG,23 Jun 1989,93,Won 1 BAFTA Film Award2 wins & 10 nominations total,63.0,6.4,"151,509",tt0097523
I Love Trouble,1994,PG,29 Jun 1994,123,NA,-1.0,5.3,"11,969",tt0110093
I Am Number Four,2011,PG-13,18 Feb 2011,111,1 win & 1 nomination,36.0,6.1,"235,464",tt1464540
Ice Princess,2005,G,18 Mar 2005,98,NA,55.0,6.0,"26,814",tt0396652
In the Army Now,1994,PG,12 Aug 1994,91,NA,-1.0,5.0,"13,460",tt0110123
Innocent Blood,1992,R,25 Sep 1992,112,6 nominations,44.0,6.2,"10,073",tt0104511
James and the Giant Peach,1996,PG,12 Apr 1996,79,Nominated for 1 Oscar. 4 wins & 13 nominations total,78.0,6.7,"65,236",tt0116683
Judge Dredd,1995,R,30 Jun 1995,96,2 wins & 5 nominations,-1.0,5.5,"116,503",tt0113492
Keeping the Faith,2000,PG-13,14 Apr 2000,128,2 wins & 6 nominations,60.0,6.4,"51,561",tt0171433
Krippendorf's Tribe,1998,PG-13,27 Feb 1998,94,1 nomination,-1.0,5.0,"5,526",tt0120725
Kundun,1997,PG-13,16 Jan 1998,134,Nominated for 4 Oscars. 7 wins & 13 nominations total,74.0,7.0,"27,787",tt0119485
Mad Love,1995,PG-13,26 May 1995,93,NA,-1.0,5.4,"6,543",tt0113729
Mary Poppins Returns,2018,PG,19 Dec 2018,130,Nominated for 4 Oscars. 23 wins & 111 nominations total,66.0,6.7,"86,026",tt5028340
Max Keeble's Big Move,2001,PG,05 Oct 2001,86,1 win & 1 nomination,40.0,5.4,"8,032",tt0273799
Metro,1997,R,17 Jan 1997,117,1 nomination,41.0,5.5,"27,341",tt0119664
Miami Rhapsody,1995,PG-13,27 Jan 1995,95,1 nomination,-1.0,5.4,"3,337",tt0113808
Mission to Mars,2000,PG,10 Mar 2000,114,2 nominations,34.0,5.7,"72,756",tt0183523
Money for Nothing,1993,R,10 Sep 1993,100,NA,-1.0,5.7,"3,953",tt0107594
Monkey Kingdom,2015,G,17 Apr 2015,81,2 wins & 1 nomination,72.0,7.3,"3,957",tt3660770
Morning Light,2008,PG,12 Mar 2009,97,NA,51.0,5.8,389,tt1198405
My Science Project,1985,PG,09 Aug 1985,94,NA,38.0,6.1,"5,777",tt0089652
National Treasure,2004,PG,19 Nov 2004,131,1 win & 9 nominations,39.0,6.9,"322,927",tt0368891
Newsies,1992,PG,10 Apr 1992,121,1 win & 6 nominations,46.0,6.9,"20,437",tt0104990
Night Crossing,1982,PG,05 Feb 1982,107,2 nominations,-1.0,6.5,"1,415",tt0082810
Nixon,1995,R,05 Jan 1996,192,Nominated for 4 Oscars. 11 wins & 18 nominations total,66.0,7.1,"30,558",tt0113987
Outrageous Fortune,1987,R,30 Jan 1987,99,2 wins & 1 nomination,55.0,6.2,"8,025",tt0093690
Oz the Great and Powerful,2013,PG,08 Mar 2013,130,6 wins & 31 nominations,44.0,6.3,"205,616",tt1623205
Passed Away,1992,PG-13,24 Apr 1992,96,1 nomination,-1.0,5.8,"1,341",tt0105103
Pete's Dragon,2016,PG,12 Aug 2016,102,3 wins & 7 nominations,71.0,6.7,"57,521",tt2788732
Pinocchio,1940,G,23 Feb 1940,88,Won 2 Oscars. 7 wins total,99.0,7.4,"140,877",tt0032910
Pirates of the Caribbean: Dead Men Tell No Tales,2017,PG-13,26 May 2017,129,1 win & 13 nominations,39.0,6.5,"292,790",tt1790809
Recess: School's Out,2001,G,16 Feb 2001,82,NA,43.0,6.6,"10,428",tt0265632
Remember the Titans,2000,PG,29 Sep 2000,113,8 wins & 18 nominations,48.0,7.8,"210,371",tt0210945
Roommates,1995,PG,03 Mar 1995,108,Nominated for 1 Oscar. 2 nominations total,-1.0,6.4,"1,854",tt0114296
Running Brave,1983,PG,04 Nov 1983,106,1 nomination,-1.0,6.7,721,tt0086220
Ruthless People,1986,R,27 Jun 1986,93,1 win & 3 nominations,78.0,6.9,"27,906",tt0091877
Scenes from a Mall,1991,R,22 Feb 1991,89,NA,-1.0,5.4,"4,954",tt0102849
Secretariat,2010,PG,08 Oct 2010,123,3 wins & 6 nominations,61.0,7.2,"28,112",tt1028576
Shadow Conspiracy,1997,R,31 Jan 1997,103,NA,-1.0,4.9,"4,826",tt0120107
Shanghai Noon,2000,PG-13,26 May 2000,110,1 win & 7 nominations,77.0,6.6,"125,162",tt0184894
Simon Birch,1998,PG,11 Sep 1998,114,3 wins & 3 nominations,39.0,6.9,"21,226",tt0124879
Snow White and the Seven Dwarfs,1937,Approved,04 Feb 1938,83,Won 1 Oscar. 11 wins & 6 nominations total,95.0,7.6,"194,079",tt0029583
Something Wicked This Way Comes,1983,PG,29 Apr 1983,95,2 wins & 7 nominations,-1.0,6.8,"9,159",tt0086336
Song of the South,1946,G,20 Nov 1946,94,Won 2 Oscars. 2 wins & 1 nomination total,54.0,7.1,"13,653",tt0038969
Splash,1984,PG,09 Mar 1984,111,Nominated for 1 Oscar. 2 wins & 9 nominations total,71.0,6.3,"75,582",tt0088161
Stakeout,1987,R,05 Aug 1987,117,2 wins,69.0,6.7,"25,673",tt0094025
Star Wars: Episode VIII - The Last Jedi,2017,PG-13,15 Dec 2017,152,Nominated for 4 Oscars. 25 wins & 99 nominations total,84.0,6.9,"606,579",tt2527336
Straight Talk,1992,PG,03 Apr 1992,91,NA,-1.0,5.7,"3,666",tt0105481
Summer of Sam,1999,R,02 Jul 1999,142,6 nominations,67.0,6.7,"38,209",tt0162677
