Character,Original voice actor,Animated debut
Cricket Green,Chris Houghton,Big City Greens
Cri-Kee,None,Mulan
The Crocodile (Tick Tock),None,Peter Pan
Cruella de Vil [a.k.a. De Vil],Betty Lou Gerson[18],101 Dalmatians
Crumbelina DiCaramello,Cymbre Walk,Wreck-It Ralph
Cubby,Robert Ellis[43],Peter Pan
Cyril Proudbottom,J. Pat O'Malley[17],The Adventures of Ichabod and Mr. Toad
Daisy Duck,Clarence NashGloria Blondell,Mr. Duck Steps Out
Dale,Dessie FlynnCorey Burton,Private Pluto
Dallben,Freddie Jones[48],The Black Cauldron
Dandy (Jim) Crow,Cliff Edwards[49][50],Dumbo
Dang Hu,Lucille Soong,Raya and the Last Dragon
Danielle,Kath Soucie[19],Lady and the Tramp II: Scamp's Adventure
Danny,Andrew McDonough,Return to Never Land
Darby,Chloë Grace Moretz,My Friends Tigger & Pooh
Darling,Peggy Lee[26],Lady and the Tramp
Darryl McGee,Michaela Dietz,The Ghost and Molly McGee
David Kawena,Jason Scott Lee[7],Lilo & Stitch
Deacon (Preacher) Crow,Hall Johnson[51],Dumbo
Delilah Dalmatian,Ella Kenion,101 Dalmatian Street (series)
Della Duck,Paget Brewster,DuckTales
Demetrius,Wayne Knight[13],Hercules
Denahi,Jason Raize[52],Brother Bear
Dennis Avarius,Atticus Shaffer,Star vs. the Forces of Evil
Derek Blunt,Peter Renaday,Darkwing Duck
DeSoto,Carl Weintraub[53],Oliver & Company
Dewey,Clarence NashRussi Taylor,Donald's Nephews
Dex Barrington,Justin Berfield,The Country Bears
Diablo the Raven,None,Sleeping Beauty
Digger the Mole,Dub Taylor[36],The Rescuers
Dijon the Thief,Richard Libertini,DuckTales
Dinah the Cat,None,Alice in Wonderland
Dinah the Dachshund,None,The Sleepwalker
Dinky,Richard Bakalyan[15],The Fox and the Hound
Dipper Pines,Jason Ritter,Gravity Falls
The Director,James Lipton[6],Bolt
Dixie,Reba McEntire,The Fox and the Hound 2
Dizzie the Vulture,Lord Tim Hudson[8],The Jungle Book
Djali,None,The Hunchback of Notre Dame
Doc,Roy Atwell[33],Snow White and the Seven Dwarfs
Doctor Mouse,Bernard Fox[47],The Rescuers Down Under
Dodger,Billy Joel[53],Oliver & Company
The Dodo,Bill Thompson[14],Alice in Wonderland
The Dog Catcher,Jeff Bennett[19],Lady and the Tramp II: Scamp's Adventure
Doli,John Byner[48],The Black Cauldron
Dolly Dalmatian,Michaela Dietz,101 Dalmatian Street (series)
Dolores Madrigal,Adassa,Encanto
Domino,None,Amphibia
Don Karnage,Jim Cummings,TaleSpin
Donald Duck,Clarence NashTony Anselmo,The Wise Little Hen
Doofus Drake,Brian Cummings,DuckTales
The Doorknob,Joseph Kearns[14],Alice in Wonderland
The Doorman,Don Barclay[16],Cinderella
Dopey,Eddie Collins[33],Snow White and the Seven Dwarfs
Dopey (Straw Hat) Crow,Jim Carmichael[54],Dumbo
Doris,Ethan Sandler[38],Meet the Robinsons
The Dormouse,Jimmy MacDonald[14],Alice in Wonderland
Double Dan,Alfred Molina,Ralph Breaks the Internet
Doug Dalmatian,Rhashan Stone,101 Dalmatian Street (series)
Doug Ramses,Rich Moore,Zootopia
Dr. Calico,Malcolm McDowell[6],Bolt
Dr. David Q. Dawson,Val Bettin[32],The Great Mouse Detective
Dr. Delbert Doppler,David Hyde Pierce[28],Treasure Planet
Dr. Facilier,Keith David[42],The Princess and the Frog
Dr. Forrester,Ronn Moss[6],Bolt
Dr. Frakes,Cree Summer,Amphibia
Dr. Heinz Doofenshmirtz,Dan Povenmire,Phineas and Ferb
Dr. Jacques von Hämsterviel,Jeff Bennett[55],Stitch! The Movie
Dr. Jan,Anika Noni Rose,Amphibia
Dr. Joshua Sweet,Phil Morris[25],Atlantis: The Lost Empire
Dr. Jumba Jookiba,David Ogden Stiers[7],Lilo & Stitch
Dr. Reginald Bushroot,Tino Insana,Darkwing Duck
Dr. Teeth,Bill Barretta,Muppet Babies
Drake Mallard (Darkwing Duck),Jim Cummings,Darkwing Duck
Drew Lipsky / Dr. Drakken,John DiMaggio,Kim Possible
Drizella Tremaine,Rhoda Williams[16]Russi Taylor,Cinderella
Duchess,Eva Gabor[2],The Aristocats
Duchess,Marjorie Bennett[18],One Hundred and One Dalmatians
Duckworth,Chuck McCann,DuckTales
Duke,None,Fantasia 2000
Duke of Weselton,Alan Tudyk,Frozen
Duke Weaselton,Alan Tudyk,Zootopia
Dumbo,None,Dumbo
Duncan,Horatio Sanz,Wreck-It Ralph
Dylan Dalmatian,Josh Brener,101 Dalmatian Street (series)
Earl Sneed Sinclair,Stuart Pankin,Dinosaurs
Eclipsa Butterfly,Esmé Bianco,Star vs. the Forces of Evil
Ed,Jim Cummings[31],The Lion King
"Edalyn ""Eda"" Clawthorne",Wendie Malick,The Owl House
Edgar Balthazar the Butler,Roddy Maude-Roxby[2],The Aristocats
Edric Blight,Ryan O'Flanagan,The Owl House
Edward,Roger Rees,Return to Never Land
Eema,Della Reese[10],Dinosaur
Eeyore,Ralph Wright[46],Winnie the Pooh and the Honey Tree
Einstein,Richard Mulligan[53],Oliver & Company
El Capitan,Jim Cummings,DuckTales
"Eli ""Big Daddy"" La Bouff",John Goodman[42],The Princess and the Frog
Ellie Mae,Jeanette Nolan[36],The Rescuers
Elliott,Charlie Callas,Pete's Dragon
Elmer Elephant,None,Silly Symphonies
Elsa,Idina Menzel,Frozen
Emira Blight,Erica Lindbeck,The Owl House
Emmitt Otterton,None,Zootopia
Emo Kid,Greg Cipes,Kick Buttowski: Suburban Daredevil
Emperor Awesome,Sam Riegel,Wander Over Yonder
Emperor Belos,Matthew Rhys,The Owl House
Emperor of China,Pat Morita[45],Mulan
The Enchantress,Kath Soucie,Beauty and the Beast: The Enchanted Christmas
Esmeralda,Demi Moore[4],The Hunchback of Notre Dame
Ethyl Hinkleman Phillips,Florence Stanley,Dinosaurs
Eudora,Oprah Winfrey[42],The Princess and the Frog
Eugene Fitzherbert,Zachary Levi[56],Tangled
Evangeline,None,The Princess and the Frog
Evil Queen,Lucille La Verne,Snow White and the Seven Dwarfs
Evinrude,Jimmy MacDonald[36],The Rescuers
Fa Li,Freda Foh Shen[45],Mulan
Fa Zhou,Soon-Tek Oh[45],Mulan
Fagin,Dom DeLuise[53],Oliver & Company
